region_code,region_name,sex,year,e0_pclm,e0_hmd,e0,de0
AT,Austria,Female,1945,NA,NA,NA,NA
AT,Austria,Female,1946,NA,NA,NA,NA
AT,Austria,Female,1947,NA,64.01,64.01,NA
AT,Austria,Female,1948,NA,65.77,65.77,1.76
AT,Austria,Female,1949,NA,65.77,65.77,0
AT,Austria,Female,1950,NA,67.28,67.28,1.51
AT,Austria,Female,1951,NA,67.81,67.81,0.53
AT,Austria,Female,1952,NA,69.23,69.23,1.42
AT,Austria,Female,1953,NA,69.71,69.71,0.48
AT,Austria,Female,1954,NA,69.88,69.88,0.17
AT,Austria,Female,1955,NA,70.36,70.36,0.48
AT,Austria,Female,1956,NA,70.54,70.54,0.18
AT,Austria,Female,1957,NA,70.51,70.51,-0.03
AT,Austria,Female,1958,NA,71.37,71.37,0.86
AT,Austria,Female,1959,NA,71.39,71.39,0.02
AT,Austria,Female,1960,NA,71.9,71.9,0.51
AT,Austria,Female,1961,NA,72.77,72.77,0.87
AT,Austria,Female,1962,NA,72.48,72.48,-0.29
AT,Austria,Female,1963,NA,72.66,72.66,0.18
AT,Austria,Female,1964,NA,73.19,73.19,0.53
AT,Austria,Female,1965,NA,72.99,72.99,-0.2
AT,Austria,Female,1966,NA,73.34,73.34,0.35
AT,Austria,Female,1967,NA,73.37,73.37,0.03
AT,Austria,Female,1968,NA,73.52,73.52,0.15
AT,Austria,Female,1969,NA,73.27,73.27,-0.25
AT,Austria,Female,1970,NA,73.42,73.42,0.15
AT,Austria,Female,1971,NA,73.67,73.67,0.25
AT,Austria,Female,1972,NA,74.02,74.02,0.35
AT,Austria,Female,1973,NA,74.57,74.57,0.55
AT,Austria,Female,1974,NA,74.62,74.62,0.05
AT,Austria,Female,1975,NA,74.7,74.7,0.08
AT,Austria,Female,1976,NA,75.06,75.06,0.36
AT,Austria,Female,1977,NA,75.44,75.44,0.38
AT,Austria,Female,1978,NA,75.65,75.65,0.21
AT,Austria,Female,1979,NA,75.97,75.97,0.32
AT,Austria,Female,1980,NA,76.04,76.04,0.07
AT,Austria,Female,1981,NA,76.38,76.38,0.34
AT,Austria,Female,1982,NA,76.58,76.58,0.2
AT,Austria,Female,1983,NA,76.59,76.59,0.01
AT,Austria,Female,1984,NA,77.18,77.18,0.59
AT,Austria,Female,1985,NA,77.3,77.3,0.12
AT,Austria,Female,1986,NA,77.65,77.65,0.35
AT,Austria,Female,1987,NA,78.03,78.03,0.38
AT,Austria,Female,1988,NA,78.52,78.52,0.49
AT,Austria,Female,1989,NA,78.66,78.66,0.14
AT,Austria,Female,1990,NA,78.87,78.87,0.21
AT,Austria,Female,1991,NA,78.98,78.98,0.11
AT,Austria,Female,1992,NA,79.14,79.14,0.16
AT,Austria,Female,1993,NA,79.34,79.34,0.2
AT,Austria,Female,1994,NA,79.63,79.63,0.29
AT,Austria,Female,1995,NA,79.95,79.95,0.32
AT,Austria,Female,1996,NA,80.08,80.08,0.13
AT,Austria,Female,1997,NA,80.54,80.54,0.46
AT,Austria,Female,1998,NA,80.82,80.82,0.28
AT,Austria,Female,1999,NA,80.83,80.83,0.01
AT,Austria,Female,2000,NA,81.09,81.09,0.26
AT,Austria,Female,2001,NA,81.56,81.56,0.47
AT,Austria,Female,2002,NA,81.66,81.66,0.1
AT,Austria,Female,2003,NA,81.54,81.54,-0.12
AT,Austria,Female,2004,NA,82.09,82.09,0.55
AT,Austria,Female,2005,NA,82.21,82.21,0.12
AT,Austria,Female,2006,NA,82.63,82.63,0.42
AT,Austria,Female,2007,NA,82.83,82.83,0.2
AT,Austria,Female,2008,NA,82.95,82.95,0.12
AT,Austria,Female,2009,NA,82.85,82.85,-0.1
AT,Austria,Female,2010,NA,83.12,83.12,0.27
AT,Austria,Female,2011,NA,83.43,83.43,0.31
AT,Austria,Female,2012,NA,83.29,83.29,-0.14
AT,Austria,Female,2013,NA,83.56,83.56,0.27
AT,Austria,Female,2014,NA,83.73,83.73,0.17
AT,Austria,Female,2015,83.83,83.59,83.59,-0.14
AT,Austria,Female,2016,84.26,83.94,83.94,0.35
AT,Austria,Female,2017,84.1,83.89,83.89,-0.05
AT,Austria,Female,2018,84.2,NA,84.2,0.31
AT,Austria,Female,2019,84.32,NA,84.32,0.12
